date;time;heartRate
20/03/2024;07:56:00;78
20/03/2024;07:57:00;89
20/03/2024;07:58:00;82
20/03/2024;07:59:00;74
20/03/2024;08:00:00;77
20/03/2024;08:02:00;73
20/03/2024;08:03:00;81
20/03/2024;08:04:00;77
20/03/2024;08:05:00;76
20/03/2024;08:06:00;78
20/03/2024;08:07:00;79
20/03/2024;08:08:00;78
20/03/2024;08:09:00;90
20/03/2024;08:10:00;93
20/03/2024;08:11:00;82
20/03/2024;08:12:00;80
20/03/2024;08:13:00;81
20/03/2024;08:14:00;83
20/03/2024;08:15:00;79
20/03/2024;08:16:00;83
20/03/2024;08:17:00;73
20/03/2024;08:18:00;72
20/03/2024;08:19:00;74
20/03/2024;08:20:00;82
20/03/2024;08:21:00;74
20/03/2024;08:22:00;75
20/03/2024;08:24:00;89
20/03/2024;08:25:00;76
20/03/2024;08:26:00;76
20/03/2024;08:27:00;72
20/03/2024;08:28:00;75
20/03/2024;08:29:00;75
20/03/2024;08:30:00;74
20/03/2024;08:31:00;89
20/03/2024;08:32:00;79
20/03/2024;08:33:00;73
20/03/2024;08:34:00;75
20/03/2024;08:35:00;75
20/03/2024;08:36:00;78
20/03/2024;08:37:00;79
20/03/2024;08:38:00;76
20/03/2024;08:39:00;78
20/03/2024;08:40:00;83
20/03/2024;08:41:00;91
20/03/2024;08:42:00;81
20/03/2024;08:43:00;72
20/03/2024;08:44:00;71
20/03/2024;08:46:00;88
20/03/2024;08:47:00;92
20/03/2024;08:48:00;94
20/03/2024;08:49:00;98
20/03/2024;08:50:00;87
20/03/2024;08:52:00;75
20/03/2024;08:53:00;77
20/03/2024;08:54:00;79
20/03/2024;08:55:00;83
20/03/2024;08:56:00;79
20/03/2024;08:57:00;77
20/03/2024;08:58:00;78
20/03/2024;08:59:00;79
20/03/2024;09:00:00;88
20/03/2024;09:01:00;75
20/03/2024;09:02:00;78
20/03/2024;09:04:00;83
20/03/2024;09:05:00;79
20/03/2024;09:06:00;90
20/03/2024;09:07:00;81
20/03/2024;09:08:00;76
20/03/2024;09:09:00;75
